DATE_UTC,DateTime_MDT,DateTime_UTC,Day,SampleID,Platform,FilterType,Sampler,SampleType,FlowRate,Volume_L,SamplingDuration_dmin,SampleStart_UTC,SampleEnd_UTC,Notes
10/8/2023,10/8/2023 13:09,10/8/2023 19:09,1,R1A,Red,PTFE,Button,Ambient,4,40,10,19:09:00,19:19:00,
10/8/2023,10/8/2023 13:09,10/8/2023 19:09,1,R1B,Red,PTFE,Button,Ambient,4,40,10,19:09:00,19:19:00,
10/8/2023,10/8/2023 13:40,10/8/2023 19:40,1,R2A,Red,PTFE,Button,Ambient,4,40,10,19:40:00,19:50:00,
10/8/2023,10/8/2023 13:40,10/8/2023 19:40,1,R2B,Red,PTFE,Button,Ambient,4,40,10,19:40:00,19:50:00,
10/8/2023,10/8/2023 14:10,10/8/2023 20:10,1,R3A,Red,PTFE,Button,Ambient,4,40,10,20:10:00,20:20:00,
10/8/2023,10/8/2023 14:10,10/8/2023 20:10,1,R3B,Red,PTFE,Button,Ambient,4,40,10,20:10:00,20:20:00,
10/8/2023,10/8/2023 14:28,10/8/2023 20:28,1,R4A,Red,PTFE,Button,Ambient,4,40,10,20:28:00,20:38:00,
10/8/2023,10/8/2023 14:28,10/8/2023 20:28,1,R4B,Red,PTFE,Button,Ambient,4,40,10,20:28:00,20:38:00,
10/8/2023,10/8/2023 14:48,10/8/2023 20:48,1,B1A,Blue,PTFE,Button,Ambient,4,40,10,20:48:00,20:58:00,
10/8/2023,10/8/2023 14:48,10/8/2023 20:48,1,B1B,Blue,PTFE,Button,Ambient,4,40,10,20:48:00,20:58:00,
10/8/2023,10/8/2023 14:48,10/8/2023 20:48,1,B1,Blue,Quartz,Cassette,Ambient,2,24,12,20:47:00,20:59:00,
10/8/2023,10/8/2023 15:41,10/8/2023 21:41,1,B2A,Blue,PTFE,Button,Ambient,4,40,10,21:41:00,21:51:00,
10/8/2023,10/8/2023 15:41,10/8/2023 21:41,1,B2B,Blue,PTFE,Button,Ambient,4,40,10,21:41:00,21:51:00,
10/8/2023,10/8/2023 15:41,10/8/2023 21:41,1,R5A,Red,PTFE,Button,Ambient,4,40,10,21:41:00,21:51:00,
10/8/2023,10/8/2023 15:41,10/8/2023 21:41,1,R5B,Red,PTFE,Button,Ambient,4,40,10,21:41:00,21:51:00,
10/8/2023,10/8/2023 15:41,10/8/2023 21:41,1,B2,Blue,Quartz,Cassette,Ambient,2,25.63333333,12.81666667,21:41:25,21:54:14,
10/9/2023,10/9/2023 11:44,10/9/2023 17:44,2,Blank1A,Blank,PTFE,Button,FieldBlank,4,NA,NA,17:44:00,NA,
10/9/2023,10/9/2023 11:44,10/9/2023 17:44,2,Blank1B,Blank,PTFE,Button,FieldBlank,4,NA,NA,17:44:00,NA,
10/9/2023,10/9/2023 12:11,10/9/2023 18:11,2,R6A,Red,PTFE,Button,Ambient,4,40,10,18:11:00,18:21:00,
10/9/2023,10/9/2023 12:11,10/9/2023 18:11,2,R6B,Red,PTFE,Button,Ambient,4,40,10,18:11:00,18:21:00,
10/9/2023,10/9/2023 12:17,10/9/2023 18:17,2,B3A,Blue,PTFE,Button,Ambient,4,40,10,18:17:00,18:27:00,
10/9/2023,10/9/2023 12:17,10/9/2023 18:17,2,B3B,Blue,PTFE,Button,Ambient,4,40,10,18:17:00,18:27:00,
10/9/2023,10/9/2023 12:17,10/9/2023 18:17,2,B3,Blue,Quartz,Cassette,Ambient,2,24.8,12.4,18:17:02,18:29:26,
10/9/2023,10/9/2023 12:32,10/9/2023 18:32,2,B4,Blue,Quartz,Cassette,Smoke,2,32.5,16.25,18:32:45,18:49:00,No data from green box; partial smoke
10/9/2023,10/9/2023 12:33,10/9/2023 18:33,2,B4A,Blue,PTFE,Button,Smoke,4,40,10,18:33:00,18:43:00,Partial smoke towards end of sample
10/9/2023,10/9/2023 12:33,10/9/2023 18:33,2,B4B,Blue,PTFE,Button,Smoke,4,40,10,18:33:00,18:43:00,Partial smoke towards end of sample
10/9/2023,10/9/2023 12:33,10/9/2023 18:33,2,R7A,Red,PTFE,Button,Smoke,4,40,10,18:33:00,18:43:00,Partial smoke towards end of sample
10/9/2023,10/9/2023 12:33,10/9/2023 18:33,2,R7B,Red,PTFE,Button,Smoke,4,40,10,18:33:00,18:43:00,Partial smoke towards end of sample
10/9/2023,10/9/2023 14:43,10/9/2023 20:43,2,B_pre5_6A,Blue,NA,CO_CO2,Ambient,NA,NA,10,20:43:00,20:53:00,For ambient threshold
10/9/2023,10/9/2023 14:54,10/9/2023 20:54,2,B5A,Blue,PTFE,Button,Smoke,4,60,15,20:54:00,21:09:00,"Tons of smoke, probably best sample"
10/9/2023,10/9/2023 14:54,10/9/2023 20:54,2,B5B,Blue,PTFE,Button,Smoke,4,60,15,20:54:00,21:09:00,"Tons of smoke, probably best sample"
10/9/2023,10/9/2023 14:54,10/9/2023 20:54,2,R8A,Red,PTFE,Button,Smoke,4,60,15,20:54:00,21:09:00,"Tons of smoke, probably best sample"
10/9/2023,10/9/2023 14:54,10/9/2023 20:54,2,R8B,Red,PTFE,Button,Smoke,4,60,15,20:54:00,21:09:00,"Tons of smoke, probably best sample"
10/9/2023,10/9/2023 14:54,10/9/2023 20:54,2,B5,Blue,Quartz,Cassette,Smoke,2,38.4,19.2,20:54:20,21:13:32,"Tons of smoke, probably best sample"
10/9/2023,10/9/2023 15:17,10/9/2023 21:17,2,B6A,Blue,PTFE,Button,Smoke,4,60,15,21:17:00,21:32:00,
10/9/2023,10/9/2023 15:17,10/9/2023 21:17,2,B6B,Blue,PTFE,Button,Smoke,4,60,15,21:17:00,21:32:00,
10/9/2023,10/9/2023 15:17,10/9/2023 21:17,2,R9A,Red,PTFE,Button,Smoke,4,60,15,21:17:00,21:32:00,
10/9/2023,10/9/2023 15:17,10/9/2023 21:17,2,R9B,Red,PTFE,Button,Smoke,4,60,15,21:17:00,21:32:00,
10/9/2023,10/9/2023 15:17,10/9/2023 21:17,2,B6,Blue,Quartz,Cassette,Smoke,2,32.1,16.05,21:17:17,21:33:20,
10/9/2023,10/9/2023 16:00,10/9/2023 22:00,2,Blank2A,Blank,PTFE,Button,FieldBlank,4,NA,NA,22:00:00,NA,
10/10/2023,10/9/2023 18:17,10/10/2023 0:17,2,B7A,Blue,PTFE,Button,Smoke,4,60,15,0:17:00,0:32:00,
10/10/2023,10/9/2023 18:17,10/10/2023 0:17,2,B7B,Blue,PTFE,Button,Smoke,4,60,15,0:17:00,0:32:00,
10/10/2023,10/9/2023 18:17,10/10/2023 0:17,2,R10A,Red,PTFE,Button,Smoke,4,60,15,0:17:00,0:32:00,
10/10/2023,10/9/2023 18:17,10/10/2023 0:17,2,R10B,Red,PTFE,Button,Smoke,4,60,15,0:17:00,0:32:00,
10/10/2023,10/9/2023 18:17,10/10/2023 0:17,2,B7,Blue,Quartz,Cassette,Smoke,2,38.36666667,19.18333333,0:17:00,0:36:11,
10/10/2023,10/9/2023 18:45,10/10/2023 0:45,2,B8A,Blue,PTFE,Button,Smoke,4,60,15,0:45:00,1:00:00,
10/10/2023,10/9/2023 18:45,10/10/2023 0:45,2,B8B,Blue,PTFE,Button,Smoke,4,60,15,0:45:00,1:00:00,
10/10/2023,10/9/2023 18:45,10/10/2023 0:45,2,R11A,Red,PTFE,Button,Smoke,4,60,15,0:45:00,1:00:00,
10/10/2023,10/9/2023 18:45,10/10/2023 0:45,2,R11B,Red,PTFE,Button,Smoke,4,60,15,0:45:00,1:00:00,
10/10/2023,10/9/2023 18:45,10/10/2023 0:45,2,B8,Blue,Quartz,Cassette,Smoke,2,32,16,0:45:00,1:01:00,
10/10/2023,10/9/2023 19:44,10/10/2023 1:44,2,Blank2B,Blank,PTFE,Button,FieldBlank,4,NA,NA,1:44:00,NA,
10/10/2023,10/10/2023 14:52,10/10/2023 20:52,3,Blank3A,Blank,PTFE,Button,FieldBlank,4,NA,NA,20:52:00,NA,
10/10/2023,10/10/2023 14:52,10/10/2023 20:52,3,Blank3B,Blank,PTFE,Button,FieldBlank,4,NA,NA,20:52:00,NA,
10/10/2023,10/10/2023 14:58,10/10/2023 20:58,3,B_pre9A,Blue,NA,CO_CO2,Ambient,NA,NA,10,20:58:00,21:08:00,Ambient threshold for sample 9
10/10/2023,10/10/2023 15:09,10/10/2023 21:09,3,B9A,Blue,PTFE,Button,Smoke,4,60,15,21:09:00,21:24:00,
10/10/2023,10/10/2023 15:09,10/10/2023 21:09,3,B9B,Blue,PTFE,Button,Smoke,4,60,15,21:09:00,21:24:00,
10/10/2023,10/10/2023 15:09,10/10/2023 21:09,3,R12A,Red,PTFE,Button,Smoke,4,60,15,21:09:00,21:24:00,
10/10/2023,10/10/2023 15:09,10/10/2023 21:09,3,R12B,Red,PTFE,Button,Smoke,4,60,15,21:09:00,21:24:00,
10/10/2023,10/10/2023 15:09,10/10/2023 21:09,3,B9,Blue,Quartz,Cassette,Smoke,2,37.5,18.75,21:09:00,21:27:45,
10/11/2023,10/10/2023 18:14,10/11/2023 0:14,3,B_pre10-12A,Blue,NA,CO_CO2,Ambient,NA,NA,10,0:14:00,0:24:00,Ambient threshold for sample 10-12
10/11/2023,10/10/2023 18:25,10/11/2023 0:25,3,B10A,Blue,PTFE,Button,Smoke,4,60,15,0:25:00,0:40:00,Partial smoke at best
10/11/2023,10/10/2023 18:25,10/11/2023 0:25,3,B10B,Blue,PTFE,Button,Smoke,4,60,15,0:25:00,0:40:00,Partial smoke at best
10/11/2023,10/10/2023 18:25,10/11/2023 0:25,3,R13A,Red,PTFE,Button,Smoke,4,60,15,0:25:00,0:40:00,Partial smoke at best
10/11/2023,10/10/2023 18:25,10/11/2023 0:25,3,R13B,Red,PTFE,Button,Smoke,4,60,15,0:25:00,0:40:00,Partial smoke at best
10/11/2023,10/10/2023 18:25,10/11/2023 0:25,3,B10,Blue,Quartz,Cassette,Smoke,2,35,17.5,0:25:00,0:42:30,Partial smoke at best
10/11/2023,10/10/2023 18:53,10/11/2023 0:53,3,B11A,Blue,PTFE,Button,Smoke,4,52.28,13.07,0:53:00,1:06:04,Arms loose on ATAT-RTH with time remaining on leland (1:56min)
10/11/2023,10/10/2023 18:53,10/11/2023 0:53,3,B11B,Blue,PTFE,Button,Smoke,4,52.28,13.07,0:53:00,1:06:04,Arms loose on ATAT-RTH with time remaining on leland (1:56min)
10/11/2023,10/10/2023 18:53,10/11/2023 0:53,3,R14A,Red,PTFE,Button,Smoke,4,60,15,0:53:00,1:08:00,Partial smoke at best
10/11/2023,10/10/2023 18:53,10/11/2023 0:53,3,R14B,Red,PTFE,Button,Smoke,4,60,15,0:53:00,1:08:00,Partial smoke at best
10/11/2023,10/10/2023 18:53,10/11/2023 0:53,3,B11,Blue,Quartz,Cassette,Smoke,2,27.13333333,13.56666667,0:53:00,1:06:34,Partial smoke at best
10/11/2023,10/10/2023 19:29,10/11/2023 1:29,3,B12A,Blue,PTFE,Button,Smoke,4,60,15,1:29:00,1:44:00,Partial smoke at best
10/11/2023,10/10/2023 19:29,10/11/2023 1:29,3,B12B,Blue,PTFE,Button,Smoke,4,60,15,1:29:00,1:44:00,Partial smoke at best
10/11/2023,10/10/2023 19:21,10/11/2023 1:21,3,R15A,Red,PTFE,Button,Smoke,4,60,15,1:21:00,1:36:00,Partial smoke at best
10/11/2023,10/10/2023 19:21,10/11/2023 1:21,3,R15B,Red,PTFE,Button,Smoke,4,60,15,1:21:00,1:36:00,Partial smoke at best
10/11/2023,10/10/2023 19:29,10/11/2023 1:29,3,B12,Blue,Quartz,Cassette,Smoke,2,39.33333333,19.66666667,1:29:00,1:48:40,Partial smoke at best
10/11/2023,10/10/2023 20:05,10/11/2023 2:05,3,Blank4A,Blank,PTFE,Button,FieldBlank,4,NA,NA,2:05:00,NA,
10/11/2023,10/10/2023 20:05,10/11/2023 2:05,3,Blank4B,Blank,PTFE,Button,FieldBlank,4,NA,NA,2:05:00,NA,
