"Project","Sampler","SampleType","StainType","StainDate","DateCounted","Who","SampleID","Sample","SlideRep","SporesCounted","FOV","TotalSpores","Clumps.4ormorecells.","CellsPerClump","Mycelia","Notes.x","LB_Batch","DATE_UTC","DateTime_MDT","DateTime_UTC","Day.x","Platform","FilterType","FlowRate","Volume_L","SamplingDuration_dmin","SampleStart_UTC","SampleEnd_UTC","Notes.y","RepVolume_L","RepVolume_m3","TotalSpores_LB","log1TotalSpores_LB","TotalSpores_LBcorr","TotalSpores.filter_LBcorr","TotalSpores_LBcorr_m3","log_volume_offset_m3","Sample_num","MeanLogPM2.5","MeansqrtPM2.5","MeanPM2.5_ug.m3","MedianPM2.5_ug.m3","MaxPM2.5_ug.m3","MeanPM1.0ug.m3","MedianPM1.0_ug.m3","MaxPM1.0_ug.m3","MeanPM10_ug.m3","MedianPM10_ug.m3","MaxPM10_ug.m3","MeanTemp_C","MedianTemp_C","MaxTemp_C","MinTemp_C","MeanRH","MedianRH","MinRH","MaxRH","MeanMR","MedianMR","MaxMR","MinMR","SmokeLevel","presence","MedianMR_centered","Day.y","Mean_CO2_CO_mg.m3","Median_CO2_CO_mg.m3","Mean_DeltaCO2_mg.m3","Median_DeltaCO_mg.m3","Mean_DeltaCO2_ppm","Median_DeltaCO2_ppm","Mean_DeltaCO_ppm","Median_DeltaCO_ppm","Max_DeltaCO_ppm","MeanMCE","MedianMCE","TC_mg.m3","bcorr_TC_mg.m3","Gas_TC_Carbon_mg.m3"
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B10B","B10","B",TRUE,1,18,NA,"",1,"0.5","B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,3,"Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,17.5,1264.375,583.333333333333,-3.50655789731998,10,4.72174003884901,14.800334615,296.581872992119,284.73879828125,913.5954568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,"Low",TRUE,-0.11604354356674,3,9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,0.470020408887827,0.0966579525653142,9.26602549754036
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B10B","B10","B",TRUE,2,7,NA,"",NA,"","B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,3,"Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,6.5,469.625,216.666666666667,-3.50655789731998,10,4.72174003884901,14.800334615,296.581872992119,284.73879828125,913.5954568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,"Low",TRUE,-0.11604354356674,3,9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,0.470020408887827,0.0966579525653142,9.26602549754036
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B10B","B10","B",TRUE,3,35,NA,"",NA,"","B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,3,"Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,34.5,2492.625,1150,-3.50655789731998,10,4.72174003884901,14.800334615,296.581872992119,284.73879828125,913.5954568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,"Low",TRUE,-0.11604354356674,3,9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,0.470020408887827,0.0966579525653142,9.26602549754036
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B10B","B10","B",TRUE,4,20,NA,"",NA,"","B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,3,"Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,19.5,1408.875,650,-3.50655789731998,10,4.72174003884901,14.800334615,296.581872992119,284.73879828125,913.5954568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,"Low",TRUE,-0.11604354356674,3,9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,0.470020408887827,0.0966579525653142,9.26602549754036
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B10B","B10","B",TRUE,5,6,NA,"",NA,"","B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,3,"Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,5.5,397.375,183.333333333333,-3.50655789731998,10,4.72174003884901,14.800334615,296.581872992119,284.73879828125,913.5954568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,"Low",TRUE,-0.11604354356674,3,9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,0.470020408887827,0.0966579525653142,9.26602549754036
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B10B","B10","B",TRUE,6,3,NA,"",NA,"","B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,3,"Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,2.5,180.625,83.3333333333333,-3.50655789731998,10,4.72174003884901,14.800334615,296.581872992119,284.73879828125,913.5954568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,"Low",TRUE,-0.11604354356674,3,9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,0.470020408887827,0.0966579525653142,9.26602549754036
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B10B","B10","B",TRUE,7,3,NA,"",3,".3,.3,.25","B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,3,"Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,2.5,180.625,83.3333333333333,-3.50655789731998,10,4.72174003884901,14.800334615,296.581872992119,284.73879828125,913.5954568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,"Low",TRUE,-0.11604354356674,3,9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,0.470020408887827,0.0966579525653142,9.26602549754036
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B10B","B10","B",TRUE,8,17,NA,"",NA,"","B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,3,"Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,16.5,1192.125,550,-3.50655789731998,10,4.72174003884901,14.800334615,296.581872992119,284.73879828125,913.5954568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,"Low",TRUE,-0.11604354356674,3,9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,0.470020408887827,0.0966579525653142,9.26602549754036
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B10B","B10","B",TRUE,9,6,NA,"",1,"0.125","B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,3,"Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,5.5,397.375,183.333333333333,-3.50655789731998,10,4.72174003884901,14.800334615,296.581872992119,284.73879828125,913.5954568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,"Low",TRUE,-0.11604354356674,3,9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,0.470020408887827,0.0966579525653142,9.26602549754036
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B10B","B10","B",TRUE,10,7,NA,"",NA,"","B",2023-10-11,2023-10-10 18:25:00,2023-10-11 00:25:00,3,"Blue","PTFE",4,60,15,2023-10-11 00:25:00,2023-10-11 00:40:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,6.5,469.625,216.666666666667,-3.50655789731998,10,4.72174003884901,14.800334615,296.581872992119,284.73879828125,913.5954568125,162.399186046512,183.125,370.5,298.041569767442,316.625,762.75,10.0638569604087,10,10.5555555555556,7.77777777777778,31.3333333333333,31,31,32,3.46114545081116,3.49829032819435,3.65288745104373,2.95692571743565,"Low",TRUE,-0.11604354356674,3,9.16936754497504,7.15880794304564,30.8100107581134,1.51685239597926,16.3873253245179,22.7938558681921,1.49529188355726,1.26651866080882,4.28245836580882,0.903533173719327,0.926980348124455,0.470020408887827,0.0966579525653142,9.26602549754036
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B12B","B12","B",TRUE,1,4,NA,"",NA,"","B",2023-10-11,2023-10-10 19:29:00,2023-10-11 01:29:00,3,"Blue","PTFE",4,60,15,2023-10-11 01:29:00,2023-10-11 01:44:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,3.5,252.875,116.666666666667,-3.50655789731998,12,3.40341034193371,8.04913348165278,98.2347479816738,70.63631,343.96587725,71.5695081967213,55.375,217.25,119.030737704918,94.21,369.875,9.51730418943534,9.44444444444444,10.5555555555556,8.88888888888889,30.2622950819672,30,30,32,3.22274350561617,3.20067977403102,3.59115262850359,3.05362161156916,"Low",TRUE,-0.413654097730068,3,12.4836759454948,13.1564633792446,42.6384496071778,2.83267731716567,22.6222156083308,43.3128495814939,1.66076798489259,2.36439821080882,3.08124897580882,0.948198027037845,0.934616975798477,0.470176613782736,0.0968141574602237,12.580490102955
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B12B","B12","B",TRUE,2,8,NA,"",NA,"","B",2023-10-11,2023-10-10 19:29:00,2023-10-11 01:29:00,3,"Blue","PTFE",4,60,15,2023-10-11 01:29:00,2023-10-11 01:44:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,7.5,541.875,250,-3.50655789731998,12,3.40341034193371,8.04913348165278,98.2347479816738,70.63631,343.96587725,71.5695081967213,55.375,217.25,119.030737704918,94.21,369.875,9.51730418943534,9.44444444444444,10.5555555555556,8.88888888888889,30.2622950819672,30,30,32,3.22274350561617,3.20067977403102,3.59115262850359,3.05362161156916,"Low",TRUE,-0.413654097730068,3,12.4836759454948,13.1564633792446,42.6384496071778,2.83267731716567,22.6222156083308,43.3128495814939,1.66076798489259,2.36439821080882,3.08124897580882,0.948198027037845,0.934616975798477,0.470176613782736,0.0968141574602237,12.580490102955
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B12B","B12","B",TRUE,3,5,NA,"",NA,"","B",2023-10-11,2023-10-10 19:29:00,2023-10-11 01:29:00,3,"Blue","PTFE",4,60,15,2023-10-11 01:29:00,2023-10-11 01:44:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,4.5,325.125,150,-3.50655789731998,12,3.40341034193371,8.04913348165278,98.2347479816738,70.63631,343.96587725,71.5695081967213,55.375,217.25,119.030737704918,94.21,369.875,9.51730418943534,9.44444444444444,10.5555555555556,8.88888888888889,30.2622950819672,30,30,32,3.22274350561617,3.20067977403102,3.59115262850359,3.05362161156916,"Low",TRUE,-0.413654097730068,3,12.4836759454948,13.1564633792446,42.6384496071778,2.83267731716567,22.6222156083308,43.3128495814939,1.66076798489259,2.36439821080882,3.08124897580882,0.948198027037845,0.934616975798477,0.470176613782736,0.0968141574602237,12.580490102955
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B12B","B12","B",TRUE,4,10,NA,"",NA,"","B",2023-10-11,2023-10-10 19:29:00,2023-10-11 01:29:00,3,"Blue","PTFE",4,60,15,2023-10-11 01:29:00,2023-10-11 01:44:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,9.5,686.375,316.666666666667,-3.50655789731998,12,3.40341034193371,8.04913348165278,98.2347479816738,70.63631,343.96587725,71.5695081967213,55.375,217.25,119.030737704918,94.21,369.875,9.51730418943534,9.44444444444444,10.5555555555556,8.88888888888889,30.2622950819672,30,30,32,3.22274350561617,3.20067977403102,3.59115262850359,3.05362161156916,"Low",TRUE,-0.413654097730068,3,12.4836759454948,13.1564633792446,42.6384496071778,2.83267731716567,22.6222156083308,43.3128495814939,1.66076798489259,2.36439821080882,3.08124897580882,0.948198027037845,0.934616975798477,0.470176613782736,0.0968141574602237,12.580490102955
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B12B","B12","B",TRUE,5,17,NA,"",NA,"","B",2023-10-11,2023-10-10 19:29:00,2023-10-11 01:29:00,3,"Blue","PTFE",4,60,15,2023-10-11 01:29:00,2023-10-11 01:44:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,16.5,1192.125,550,-3.50655789731998,12,3.40341034193371,8.04913348165278,98.2347479816738,70.63631,343.96587725,71.5695081967213,55.375,217.25,119.030737704918,94.21,369.875,9.51730418943534,9.44444444444444,10.5555555555556,8.88888888888889,30.2622950819672,30,30,32,3.22274350561617,3.20067977403102,3.59115262850359,3.05362161156916,"Low",TRUE,-0.413654097730068,3,12.4836759454948,13.1564633792446,42.6384496071778,2.83267731716567,22.6222156083308,43.3128495814939,1.66076798489259,2.36439821080882,3.08124897580882,0.948198027037845,0.934616975798477,0.470176613782736,0.0968141574602237,12.580490102955
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B12B","B12","B",TRUE,6,6,NA,"",NA,"","B",2023-10-11,2023-10-10 19:29:00,2023-10-11 01:29:00,3,"Blue","PTFE",4,60,15,2023-10-11 01:29:00,2023-10-11 01:44:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,5.5,397.375,183.333333333333,-3.50655789731998,12,3.40341034193371,8.04913348165278,98.2347479816738,70.63631,343.96587725,71.5695081967213,55.375,217.25,119.030737704918,94.21,369.875,9.51730418943534,9.44444444444444,10.5555555555556,8.88888888888889,30.2622950819672,30,30,32,3.22274350561617,3.20067977403102,3.59115262850359,3.05362161156916,"Low",TRUE,-0.413654097730068,3,12.4836759454948,13.1564633792446,42.6384496071778,2.83267731716567,22.6222156083308,43.3128495814939,1.66076798489259,2.36439821080882,3.08124897580882,0.948198027037845,0.934616975798477,0.470176613782736,0.0968141574602237,12.580490102955
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B12B","B12","B",TRUE,7,11,NA,"",NA,"","B",2023-10-11,2023-10-10 19:29:00,2023-10-11 01:29:00,3,"Blue","PTFE",4,60,15,2023-10-11 01:29:00,2023-10-11 01:44:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,10.5,758.625,350,-3.50655789731998,12,3.40341034193371,8.04913348165278,98.2347479816738,70.63631,343.96587725,71.5695081967213,55.375,217.25,119.030737704918,94.21,369.875,9.51730418943534,9.44444444444444,10.5555555555556,8.88888888888889,30.2622950819672,30,30,32,3.22274350561617,3.20067977403102,3.59115262850359,3.05362161156916,"Low",TRUE,-0.413654097730068,3,12.4836759454948,13.1564633792446,42.6384496071778,2.83267731716567,22.6222156083308,43.3128495814939,1.66076798489259,2.36439821080882,3.08124897580882,0.948198027037845,0.934616975798477,0.470176613782736,0.0968141574602237,12.580490102955
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B12B","B12","B",TRUE,8,7,NA,"",NA,"","B",2023-10-11,2023-10-10 19:29:00,2023-10-11 01:29:00,3,"Blue","PTFE",4,60,15,2023-10-11 01:29:00,2023-10-11 01:44:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,6.5,469.625,216.666666666667,-3.50655789731998,12,3.40341034193371,8.04913348165278,98.2347479816738,70.63631,343.96587725,71.5695081967213,55.375,217.25,119.030737704918,94.21,369.875,9.51730418943534,9.44444444444444,10.5555555555556,8.88888888888889,30.2622950819672,30,30,32,3.22274350561617,3.20067977403102,3.59115262850359,3.05362161156916,"Low",TRUE,-0.413654097730068,3,12.4836759454948,13.1564633792446,42.6384496071778,2.83267731716567,22.6222156083308,43.3128495814939,1.66076798489259,2.36439821080882,3.08124897580882,0.948198027037845,0.934616975798477,0.470176613782736,0.0968141574602237,12.580490102955
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B12B","B12","B",TRUE,9,3,NA,"",NA,"","B",2023-10-11,2023-10-10 19:29:00,2023-10-11 01:29:00,3,"Blue","PTFE",4,60,15,2023-10-11 01:29:00,2023-10-11 01:44:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,2.5,180.625,83.3333333333333,-3.50655789731998,12,3.40341034193371,8.04913348165278,98.2347479816738,70.63631,343.96587725,71.5695081967213,55.375,217.25,119.030737704918,94.21,369.875,9.51730418943534,9.44444444444444,10.5555555555556,8.88888888888889,30.2622950819672,30,30,32,3.22274350561617,3.20067977403102,3.59115262850359,3.05362161156916,"Low",TRUE,-0.413654097730068,3,12.4836759454948,13.1564633792446,42.6384496071778,2.83267731716567,22.6222156083308,43.3128495814939,1.66076798489259,2.36439821080882,3.08124897580882,0.948198027037845,0.934616975798477,0.470176613782736,0.0968141574602237,12.580490102955
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B12B","B12","B",TRUE,10,13,NA,"",1,"0.25","B",2023-10-11,2023-10-10 19:29:00,2023-10-11 01:29:00,3,"Blue","PTFE",4,60,15,2023-10-11 01:29:00,2023-10-11 01:44:00,"Partial smoke at best",30,0.03,0.5,0.405465108108164,12.5,903.125,416.666666666667,-3.50655789731998,12,3.40341034193371,8.04913348165278,98.2347479816738,70.63631,343.96587725,71.5695081967213,55.375,217.25,119.030737704918,94.21,369.875,9.51730418943534,9.44444444444444,10.5555555555556,8.88888888888889,30.2622950819672,30,30,32,3.22274350561617,3.20067977403102,3.59115262850359,3.05362161156916,"Low",TRUE,-0.413654097730068,3,12.4836759454948,13.1564633792446,42.6384496071778,2.83267731716567,22.6222156083308,43.3128495814939,1.66076798489259,2.36439821080882,3.08124897580882,0.948198027037845,0.934616975798477,0.470176613782736,0.0968141574602237,12.580490102955
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B11B","B11","B",TRUE,1,16,NA,"",2,".3,.3","B",2023-10-11,2023-10-10 18:53:00,2023-10-11 00:53:00,3,"Blue","PTFE",4,52.28,13.07,2023-10-11 00:53:00,2023-10-11 01:06:04,"Arms loose on ATAT-RTH with time remaining on leland (1:56min)",26.14,0.02614,0.5,0.405465108108164,15.5,1119.875,592.960979342005,-3.64428857078606,11,4.61787906381793,10.6737800999871,125.877064741927,109.439625,372.7578288125,95.9646621621622,85.5425,240.415,159.535135135135,142.02,385.5,9.42192192192192,9.44444444444444,10,7.22222222222222,30.3108108108108,30,30,31,3.19763860610841,3.20003153837661,3.34652644641426,2.69939809952541,"Low",TRUE,-0.414302333384482,3,5.03917002239612,3.45635072732919,16.9430562803866,0.334627603826129,8.98035194956724,9.22013137699785,0.812405426978007,0.278427065808824,2.83584060580882,0.912070919480452,0.931800219280138,0.475522888079055,0.102160431756542,5.14133045415266
"FASMEE23","Button","Smoke","CW/KOH",20240912,"11/1/2024","Lampman","B11B","B11","B",TRUE,2,4,NA,"",NA,"","B",2023-10-11,2023-10-10 18:53:00,2023-10-11 00:53:00,3,"Blue","PTFE",4,52.28,13.07,2023-10-11 00:53:00,2023-10-11 01:06:04,"Arms loose on ATAT-RTH with time remaining on leland (1:56min)",26.14,0.02614,0.5,0.405465108108164,3.5,252.875,133.89441469013,-3.64428857078606,11,4.61787906381793,10.6737800999871,125.877064741927,109.439625,372.7578288125,95.9646621621622,85.5425,240.415,159.535135135135,142.02,385.5,9.42192192192192,9.44444444444444,10,7.22222222222222,30.3108108108108,30,30,31,3.19763860610841,3.20003153837661,3.34652644641426,2.69939809952541,"Low",TRUE,-0.414302333384482,3,5.03917002239612,3.45635072732919,16.9430562803866,0.334627603826129,8.98035194956724,9.22013137699785,0.812405426978007,0.278427065808824,2.83584060580882,0.912070919480452,0.931800219280138,0.475522888079055,0.102160431756542,5.14133045415266
