"Sample","Start_DateTime_cdt","Stop_DateTime_cdt","experiment","PA PM2.5 Corrected Mean (ug/m3)","PA PM2.5 Corrected Median (ug/m3)","PA PM2.5 Corrected SD (ug/m3)","PA PM2.5 Corrected MAX (ug/m3)","PA PM2.5 Corrected MIN (ug/m3)","PA PM1.0 Mean (ug/m3)","PA PM1.0 Median (ug/m3)","PA PM1.0 SD (ug/m3)","PA PM1.0 Avg. MAX (ug/m3)","PA PM1.0 Avg. MIN (ug/m3)","PA PM10 Mean (ug/m3)","PA PM10 Median (ug/m3)","PA PM10 SD (ug/m3)","PA PM10 Avg. MAX (ug/m3)","PA PM10 Avg. MIN (ug/m3)","PA TEMP (C) MEAN","PA TEMP (C) Median","PA TEMP (C) SD","PA TEMP (C) MAX","PA TEMP (C) MIN","PA % RH MEAN","PA % RH Median","PA % RH SD","PA % RH MIN","PA % RH MAX","PA H2O Mixing Ratio MEAN","PA H2O Mixing Ratio Median","PA H2O Mixing Ratio SD","PA H2O Mixing Ratio MAX","PA H2O Mixing Ratio MIN"
1,"2024-04-08T11:05:00","2024-04-08T11:15:00","k4",3.95266666666667,3.658,0.542314545874133,4.932,3.606,1.0875,1.1,0.524344829286987,1.7,0.5,3.10416666666667,2.75,1.35502921247723,5.55,1.95,19.775828460039,20,0.554161436531064,21.1111111111111,18.8888888888889,32.6271186440678,33,0.666910144512214,32,34,4.72710905865947,4.8009454042022,0.411881770941061,5.39814650239791,2.63263274607141
2,"2024-04-08T11:33:00","2024-04-08T11:43:00","k4",4.574625,4.5661,0.401380691951911,5.44,3.864,2.065875,2,0.68723422601778,3.25,0.665,3.034,3,0.937109713632622,5.5,1.5,20.9133709981168,21.1111111111111,0.892012661678756,22.7777777777778,19.4444444444444,30.1016949152542,30,0.802902391418853,29,32,4.76631872026638,4.81229997090384,0.183826372241515,5.39747639079891,4.44230429858697
3,"2024-04-08T12:30:00","2024-04-08T12:48:00","k4",768.703858398099,459.23663138345,882.337933540415,3992.1687178469,3.86,191.34987804878,211.6325,112.478735809237,373.835,0.165,669.541890243902,495.425,647.991950333728,3316.835,0.5,25.989417989418,26.6666666666667,2.06721823178775,29.4444444444444,22.7777777777778,23.3142857142857,23,1.66013371631443,21,26,5.04252004022786,5.19825988690415,0.378453311870147,6.08027508422063,4.25956384674497
4,"2024-04-08T13:30:00","2024-04-08T13:43:50","k4",244.481797380629,244.1158395425,173.146411053052,592.6428621869,7.606,146.161379310345,155.0425,86.785343186069,308.085,5.165,278.877155172414,303.425,173.853699280766,578.415,10.865,20.8227848101266,20.5555555555556,0.688281826848047,22.2222222222222,17.2222222222222,27.6,28,0.607964022919578,26,29,4.32319476271773,4.25978414847026,0.268822127942636,4.61522109314314,2.62820125297068
5,"2024-04-08T14:04:00","2024-04-08T14:15:30","k4",939.14662872788,919.8626183237,691.29499807621,2740.7872445669,4.036,234.294722222222,255.0475,101.151539726651,379.085,1.5,830.020833333333,843.7125,523.276162337364,1963.75,2.5,20.531045751634,20.5555555555556,0.65406711544001,21.1111111111111,18.8888888888889,29.304347826087,29,0.912403868039983,28,31,4.53428195985524,4.61904543870654,0.209352869168989,4.80771184624636,3.64387568241215
6,"2024-04-09T11:49:00","2024-04-09T12:08:40","k4",854.784296080294,622.0134316269,874.397424504037,4933.4755801716,6.158,224.240157894737,268.355,112.525089723413,411,3,713.546526315789,608.5,599.406589757947,2999.445,6.75,22.1939736346516,21.9444444444444,2.42307792375778,28.8888888888889,17.7777777777778,24.7118644067797,25,2.40406242689276,20,28,4.2643363273576,4.11671790731403,0.513220124953072,6.35251314682969,3.37215791871653
7,"2024-04-09T12:41:00","2024-04-09T13:01:00","k4",1076.21141261058,1046.72443675345,969.92876466316,4169.5790728941,9.318,219.52375,257.2375,113.840195569344,379.54,6.5,873.097336956522,908.375,687.549387255659,3326.415,10.5,21.7231638418079,21.6666666666667,1.070949947358,25.5555555555556,18.8888888888889,22.728813559322,23,0.893098102871703,21,24,3.81970746671763,3.7812522810594,0.24149079036026,4.8147971917665,3.22016166799088
8,"2024-04-09T13:59:00","2024-04-09T14:19:00","k4",1553.63412873965,1428.8528643125,1249.05931438649,5937.3893195316,9.2482,240.226237623762,274.935,107.347902318597,390.57,8,1224.54356435644,1166,901.415011170586,4325.355,11.535,24.7457627118644,25,1.41153254318998,28.8888888888889,21.6666666666667,21.0593220338983,21,1.05646057103085,19,23,4.29266275657982,4.3017219819065,0.304131375683403,5.4557776868215,3.66621610708069
9,"2024-04-09T14:26:00","2024-04-09T14:46:00","k4",1256.47337713484,687.5955816997,1409.84420211586,5524.35814976,6.783,217.445,234.4925,115.555897536623,407.335,4,1071.10798913043,668.2325,1207.13581249558,5724.665,7,23.0721747388414,23.3333333333333,0.985669588632914,26.1111111111111,21.1111111111111,22.8220338983051,23,1.00112207075385,20,25,4.18294642272618,4.13455011240909,0.266821737656038,5.04745010446087,2.88330086679372
10,"2024-04-10T09:51:00","2024-04-10T10:12:20","k4",20.7913142857143,20.9192,3.6071775137884,26.4208,10.496,22.6963865546218,23,5.08202402476536,30.1,8.8,40.8934453781513,41.875,9.71039050664198,56.915,18,17.3573573573574,17.2222222222222,0.241643797889356,17.7777777777778,17.2222222222222,34.7716535433071,35,0.818331407018902,34,37,4.26175851556656,4.30565729637695,0.224594634914,4.67301472147261,3.00695542186205
11,"2024-04-10T11:55:00","2024-04-10T12:15:00","k4",1284.46117400385,1152.28181684,1070.23232825171,4235.6023418576,8.6258,237.203465346535,280,119.718051232349,450.52,7.375,972.438613861386,967.75,699.145795372867,2602.25,9.665,32.4358974358974,33.8888888888889,4.66687542513717,38.8888888888889,21.6666666666667,16.4529914529915,15,4.0118267541232,11,26,5.16620189749284,5.07089499338291,0.544880437118373,6.4179489121693,3.28478759220139
12,"2024-04-10T13:50:00","2024-04-10T14:10:00","k4",622.420174797926,128.83271,1093.21462773843,6136.6918516461,9.186,137.246811594203,106.25,137.05830006835,503.145,7.7,523.299492753623,169.965,941.007759898829,6130.96,9.75,27.1035137701804,26.6666666666667,2.35344039060749,33.3333333333333,17.2222222222222,17.6068376068376,18,1.12155422453555,15,20,4.18750501160228,4.15360555843436,0.459204405601035,6.1859474870611,2.4575655039715
13,"2024-04-10T15:20:00","2024-04-10T15:37:30","k4",924.094418953033,308.0869396,1191.61863702236,4657.88658384,10.164,177.016829268293,192.515,154.606736827793,421.555,8.2,632.516768292683,327.7675,699.069924002366,2457.465,11.55,26.084142394822,25.5555555555556,1.31647531031058,30,24.4444444444444,18.6699029126214,19,1.03268495959598,16,20,4.0963605135933,3.97476879791651,0.2327265973432,4.8606019041518,3.66330326646229
14,"2024-04-10T15:52:00","2024-04-10T16:07:00","k4",346.594228164115,21.4842,483.1480411044,1864.1783459124,8.224,138.069691358025,24,151.60332778617,401.855,5.9,299.576666666667,37.9,377.100381338477,1347.93,9.4,25.485312899106,25,1.27026947418463,27.2222222222222,21.1111111111111,19.7159090909091,20,0.815776389752317,18,22,4.17359961904543,4.20984328861675,0.366824723363668,5.04866473909568,1.8092412107304
